time,tavg,tF
9/12/22,20.8,69.44
9/13/22,19,66.2
9/14/22,18.4,65.12
9/15/22,18.1,64.58
9/16/22,18,64.4
9/17/22,15.8,60.44
9/18/22,18,64.4
9/19/22,17.7,63.86
9/20/22,18.6,65.48
9/21/22,18.4,65.12
9/22/22,22.2,71.96
9/23/22,21.6,70.88
9/24/22,17.6,63.68
9/25/22,17.7,63.86
9/26/22,17.4,63.32
9/27/22,17.4,63.32
9/28/22,17.8,64.04
9/29/22,16.9,62.42
9/30/22,16.7,62.06
10/1/22,16.7,62.06
10/2/22,16.6,61.88
10/3/22,16.6,61.88
10/4/22,16.7,62.06
10/5/22,16.1,60.98
10/6/22,15.5,59.9
10/7/22,15.5,59.9
10/8/22,15.4,59.72
10/9/22,15.8,60.44
10/10/22,16.2,61.16
10/11/22,15.8,60.44
10/12/22,15.9,60.62
10/13/22,16.3,61.34
10/14/22,15.5,59.9
10/15/22,16.8,62.24
10/16/22,17.5,63.5
10/17/22,16.8,62.24
10/18/22,18.8,65.84
10/19/22,24.1,75.38
10/20/22,20.9,69.62
10/21/22,16.3,61.34
10/22/22,15.4,59.72
10/23/22,14.7,58.46
10/24/22,16.8,62.24
10/25/22,14.2,57.56
10/26/22,13.4,56.12
10/27/22,14.8,58.64
10/28/22,11.6,52.88
10/29/22,15.1,59.18
10/30/22,16.4,61.52
10/31/22,12.6,54.68
11/1/22,12.8,55.04
11/2/22,12.2,53.96
11/3/22,10,50
11/4/22,12.7,54.86
11/5/22,12.9,55.22
11/6/22,13.9,57.02
11/7/22,11.9,53.42
11/8/22,11.4,52.52
11/9/22,10.6,51.08
11/10/22,12,53.6
11/11/22,10.8,51.44
11/12/22,10.2,50.36
11/13/22,11.7,53.06
11/14/22,8.9,48.02
11/15/22,12,53.6
11/16/22,14.5,58.1
11/17/22,10.5,50.9
11/18/22,12.5,54.5
11/19/22,13.4,56.12
11/20/22,11.7,53.06
11/21/22,10.6,51.08
11/22/22,12.2,53.96
11/23/22,16.6,61.88
11/24/22,13.8,56.84
11/25/22,12.3,54.14
11/26/22,11.3,52.34
11/27/22,11,51.8
11/28/22,10,50
11/29/22,10.2,50.36
11/30/22,9.5,49.1
12/1/22,11.5,52.7
12/2/22,11.9,53.42
12/3/22,15.5,59.9
12/4/22,13.2,55.76
12/5/22,11.5,52.7
12/6/22,9.3,48.74
12/7/22,8.3,46.94
12/8/22,8.1,46.58
12/9/22,10.6,51.08
12/10/22,13.1,55.58
12/11/22,10.4,50.72
12/12/22,9.1,48.38
12/13/22,7.3,45.14
12/14/22,7.9,46.22
12/15/22,8.3,46.94
12/16/22,8.7,47.66
12/17/22,7.6,45.68
12/18/22,7.9,46.22
12/19/22,7.5,45.5
12/20/22,8.8,47.84
12/21/22,13,55.4
12/22/22,13.7,56.66
12/23/22,13.2,55.76
12/24/22,14.4,57.92
12/25/22,14.3,57.74
12/26/22,13.1,55.58
12/27/22,13.1,55.58
12/28/22,12.9,55.22
12/29/22,12.1,53.78
12/30/22,13.9,57.02
12/31/22,13.9,57.02
1/1/23,11.7,53.06
1/2/23,8.5,47.3
1/3/23,11.3,52.34
1/4/23,14,57.2
1/5/23,12.6,54.68
1/6/23,9.2,48.56
1/7/23,10.9,51.62
1/8/23,14.1,57.38
1/9/23,15.7,60.26
1/10/23,13.1,55.58
1/11/23,13.1,55.58
1/12/23,11.7,53.06
1/13/23,11.9,53.42
1/14/23,13.4,56.12
1/15/23,10.6,51.08
1/16/23,10.4,50.72
1/17/23,8.3,46.94
1/18/23,8.3,46.94
1/19/23,9.1,48.38
1/20/23,8.6,47.48
1/21/23,8.2,46.76
1/22/23,10,50
1/23/23,8.3,46.94
1/24/23,8.6,47.48
1/25/23,10,50
1/26/23,10.3,50.54
1/27/23,10.5,50.9
1/28/23,11.1,51.98
1/29/23,9.2,48.56
1/30/23,9.6,49.28
1/31/23,9,48.2
2/1/23,7.8,46.04
2/2/23,9.2,48.56
2/3/23,11.5,52.7
2/4/23,11.8,53.24
2/5/23,12.2,53.96
2/6/23,11.3,52.34
2/7/23,10,50
2/8/23,13.8,56.84
2/9/23,13.2,55.76
2/10/23,10.9,51.62
2/11/23,9.2,48.56
2/12/23,11,51.8
2/13/23,10.4,50.72
2/14/23,10,50
2/15/23,8.4,47.12
2/16/23,7.3,45.14
2/17/23,8.9,48.02
2/18/23,11.1,51.98
2/19/23,12,53.6
2/20/23,12.1,53.78